Title,Wiki Link,Blurb
Bruce Tree,https://en.wikipedia.org/wiki/Bruce_Tree,"Historical oak tree in Dunbartonshire, Scotland"
Bukoshi Oak,https://en.wikipedia.org/wiki/Bukoshi_Oak,Natural monument in Kosovo
Buttington Oak,https://en.wikipedia.org/wiki/Buttington_Oak,"Tree in Buttington, Wales"
Calvos Oak,https://en.wikipedia.org/wiki/Calvos_Oak,"Tree in Póvoa de Lanhoso, Portugal"
Candler Oak Tree,https://en.wikipedia.org/wiki/Candler_Oak_Tree,""
Capon Tree,https://en.wikipedia.org/wiki/Capon_Tree,"Old tree near Jedburgh, Scotland"
Caton Oak,https://en.wikipedia.org/wiki/Caton_Oak,Tree in England
Chained Oak,https://en.wikipedia.org/wiki/Chained_Oak,"Tree in Staffordshire, England"
Chêne chapelle,https://en.wikipedia.org/wiki/Ch%C3%AAne_chapelle,""
Charter Oak,https://en.wikipedia.org/wiki/Charter_Oak,"Large oak tree in Hartford, Connecticut"
Chrobry Oak,https://en.wikipedia.org/wiki/Chrobry_Oak,""
Clement Oak,https://en.wikipedia.org/wiki/Clement_Oak,"White oak tree in Deptford Township, New Jersey, U.S."
"Council Oak Tree (Hollywood, Florida)","https://en.wikipedia.org/wiki/Council_Oak_Tree_(Hollywood,_Florida)",United States historic place
Cowthorpe Oak,https://en.wikipedia.org/wiki/Cowthorpe_Oak,Tree in England
Creek Council Oak Tree,https://en.wikipedia.org/wiki/Creek_Council_Oak_Tree,""
Darley Oak,https://en.wikipedia.org/wiki/Darley_Oak,"Ancient tree in Cornwall, England"
The Devil&#039;s Tree,https://en.wikipedia.org/wiki/The_Devil%27s_Tree,""
Dewajtis (tree),https://en.wikipedia.org/wiki/Dewajtis_(tree),"Tree in Wola Osowinska, Poland"
Dømmesmo Oak,https://en.wikipedia.org/wiki/D%C3%B8mmesmo_Oak,""
Donar&#039;s Oak,https://en.wikipedia.org/wiki/Donar%27s_Oak,""
Door Tree,https://en.wikipedia.org/wiki/Door_Tree,"Tree in Hamden, Connecticut"
Druid oak,https://en.wikipedia.org/wiki/Druid_oak,""
Duffie Oak,https://en.wikipedia.org/wiki/Duffie_Oak,Historic Southern live oak tree
Ekeby oak tree,https://en.wikipedia.org/wiki/Ekeby_oak_tree,""
Emancipation Oak,https://en.wikipedia.org/wiki/Emancipation_Oak,""
Elfin Oak,https://en.wikipedia.org/wiki/Elfin_Oak,"Public artwork in Kensington Gardens, London"
Encino Oak Tree,https://en.wikipedia.org/wiki/Encino_Oak_Tree,""
Fabrykant Oak,https://en.wikipedia.org/wiki/Fabrykant_Oak,"Oak tree in Lódz, Poland"
The Oak at Flagey,https://en.wikipedia.org/wiki/The_Oak_at_Flagey,1864 painting by Gustave Courbet
Femeiche,https://en.wikipedia.org/wiki/Femeiche,Oak tree in North Rhine-Westphalia
Friendship Oak,https://en.wikipedia.org/wiki/Friendship_Oak,"Large oak tree in Long Beach, Mississippi"
Fulham Palace Oak,"https://en.wikipedia.org/wiki/Fulham_Palace_Oak"" class=""mw-redirect",""
Gernikako Arbola,https://en.wikipedia.org/wiki/Gernikako_Arbola,""
Gilwell Oak,https://en.wikipedia.org/wiki/Gilwell_Oak,"Oak tree in Gilwell Park, Essex, England"
Goethe Oak,https://en.wikipedia.org/wiki/Goethe_Oak,""
Granit oak,https://en.wikipedia.org/wiki/Granit_oak,"Ancient tree in Granit, Bulgaria"
"Gospel Oak, Polstead","https://en.wikipedia.org/wiki/Gospel_Oak,_Polstead",Veteran tree in England
Henry Clay Oak,https://en.wikipedia.org/wiki/Henry_Clay_Oak,Former oak tree in North Carolina
Grave Oak,https://en.wikipedia.org/wiki/Grave_Oak,"Old oak tree containing a gravesite in Thuringia, Germany"
Hunrodeiche,https://en.wikipedia.org/wiki/Hunrodeiche,"Oak tree in Saxony-Anhalt, Germany"
Hooker Oak,https://en.wikipedia.org/wiki/Hooker_Oak,"Historical valley oak in California, US"
Jagiello Oak,https://en.wikipedia.org/wiki/Jagie%C5%82%C5%82o_Oak,""
Jurupa Oak,https://en.wikipedia.org/wiki/Jurupa_Oak,"Exceptionally old clonal oak colony in Riverside, California"
Kaive Oak,https://en.wikipedia.org/wiki/Kaive_Oak,Remarkable oak in Latvia
Kett&#039;s Oak,https://en.wikipedia.org/wiki/Kett%27s_Oak,""
Kile Oak Tree,https://en.wikipedia.org/wiki/Kile_Oak_Tree,Oak tree
King Ludwig Oak,https://en.wikipedia.org/wiki/King_Ludwig_Oak,""
King Oak,https://en.wikipedia.org/wiki/King_Oak,""
Knightwood Oak,https://en.wikipedia.org/wiki/Knightwood_Oak,""
Kongeegen,https://en.wikipedia.org/wiki/Kongeegen,""
Lanier&#039;s Oak,https://en.wikipedia.org/wiki/Lanier%27s_Oak,""
Liberty Tree (Charleston),https://en.wikipedia.org/wiki/Liberty_Tree_(Charleston),""
Lincoln Oak,https://en.wikipedia.org/wiki/Lincoln_Oak,""
Lover&#039;s Oak,https://en.wikipedia.org/wiki/Lover%27s_Oak,""
Linden Oak,https://en.wikipedia.org/wiki/Linden_Oak,""
Maksym Zalizniak oak tree,https://en.wikipedia.org/wiki/Maksym_Zalizniak_oak_tree,""
Major Oak,https://en.wikipedia.org/wiki/Major_Oak,"Tree in Sherwood Forest, Nottinghamshire"
Marton Oak,https://en.wikipedia.org/wiki/Marton_Oak,"Ancient tree in Cheshire, UK"
Mercer Oak,https://en.wikipedia.org/wiki/Mercer_Oak,""
Merlin&#039;s Oak,https://en.wikipedia.org/wiki/Merlin%27s_Oak,""
Midland Oak,https://en.wikipedia.org/wiki/Midland_Oak,Oak tree in Warwickshire
Mieszko Oak,https://en.wikipedia.org/wiki/Mieszko_Oak,Tree in Poland
Mingo Oak,https://en.wikipedia.org/wiki/Mingo_Oak,"White oak (Quercus alba) in West Virginia, U.S."
Mollestad Oak,https://en.wikipedia.org/wiki/Mollestad_Oak,""
Napoleon Oak,https://en.wikipedia.org/wiki/Napoleon_Oak,""
Napoleon Oak (Lausanne),https://en.wikipedia.org/wiki/Napoleon_Oak_(Lausanne),""
Newland Oak,https://en.wikipedia.org/wiki/Newland_Oak,Former British oak
Niel Gow&#039;s Oak,https://en.wikipedia.org/wiki/Niel_Gow%27s_Oak,""
Oak at the Gate of the Dead,https://en.wikipedia.org/wiki/Oak_at_the_Gate_of_the_Dead,Ancient oak tree in Wales
Oak of Mamre,https://en.wikipedia.org/wiki/Oak_of_Mamre,Venerated site in the West Bank
"Oak of Shashkevych, Shmankivtsi","https://en.wikipedia.org/wiki/Oak_of_Shashkevych,_Shmankivtsi",""
Oldrich Oak,https://en.wikipedia.org/wiki/Old%C5%99ich_Oak,""
Oaks of Avalon,https://en.wikipedia.org/wiki/Oaks_of_Avalon,Pair of ancient oak trees
Onzelievehereboom,https://en.wikipedia.org/wiki/Onzelievehereboom,""
Osterley Cork Oak,"https://en.wikipedia.org/wiki/Osterley_Cork_Oak"" class=""mw-redirect",""
Parliament Oak,https://en.wikipedia.org/wiki/Parliament_Oak,Tree in England
Pontfadog Oak,https://en.wikipedia.org/wiki/Pontfadog_Oak,"Former sessile oak in Wrexham, Wales"
Pow-Wow Oak Tree,https://en.wikipedia.org/wiki/Pow-Wow_Oak_Tree,Historic tree in Massachusetts
Pugachev&#039;s Oak,https://en.wikipedia.org/wiki/Pugachev%27s_Oak,""
Pwllpriddog Oak,https://en.wikipedia.org/wiki/Pwllpriddog_Oak,"Historic tree in Carmarthenshire, Wales"
"Queen Elizabeth&#039;s Oak, Greenwich Park","https://en.wikipedia.org/wiki/Queen_Elizabeth%27s_Oak,_Greenwich_Park",""
Queen Elizabeth Oak,https://en.wikipedia.org/wiki/Queen_Elizabeth_Oak,"Tree in Cowdray Park, West Sussex, England"
"Queen Elizabeth&#039;s Oak, Hatfield House","https://en.wikipedia.org/wiki/Queen_Elizabeth%27s_Oak,_Hatfield_House",""
Queen&#039;s Oak,https://en.wikipedia.org/wiki/Queen%27s_Oak,""
Rákoczi Oak,https://en.wikipedia.org/wiki/R%C3%A1koczi_Oak,""
Robin Hood Oak,"https://en.wikipedia.org/wiki/Robin_Hood_Oak"" class=""mw-redirect",""
Robin Hood&#039;s Larder,https://en.wikipedia.org/wiki/Robin_Hood%27s_Larder,""
Royal Oak,https://en.wikipedia.org/wiki/Royal_Oak,Tree in which King Charles II hid in 1651
Royal Oak (Thuringia),https://en.wikipedia.org/wiki/Royal_Oak_(Thuringia),"Natural monument in Thuringia, Germany"
Sacred Oak,https://en.wikipedia.org/wiki/Sacred_Oak,""
Rumskulla oak,https://en.wikipedia.org/wiki/Rumskulla_oak,"Oak tree in Kalmar County, Sweden"
Seven Sisters Oak,https://en.wikipedia.org/wiki/Seven_Sisters_Oak,"Southern live oak in Mandeville, Louisiana"
Shawshank tree,https://en.wikipedia.org/wiki/Shawshank_tree,"Former white oak near Lucas, Ohio, US"
Shelton Oak,https://en.wikipedia.org/wiki/Shelton_Oak,Tree in England
Shire Oak (Headingley),https://en.wikipedia.org/wiki/Shire_Oak_(Headingley),""
Six Oaks of Likoshan,https://en.wikipedia.org/wiki/Six_Oaks_of_Likoshan,Grove of trees in Kosovo
Skipinnish Oak,https://en.wikipedia.org/wiki/Skipinnish_Oak,"Oak tree in Achnacarry, Lochaber, Scotland"
Snoegen,https://en.wikipedia.org/wiki/Snoegen,""
Sobieski Oak,https://en.wikipedia.org/wiki/Sobieski_Oak,Tree in Poland
Sobreiro Monumental,https://en.wikipedia.org/wiki/Sobreiro_Monumental,""
Stelmuze Oak,https://en.wikipedia.org/wiki/Stelmu%C5%BE%C4%97_Oak,""
Storkeegen,https://en.wikipedia.org/wiki/Storkeegen,""
The Suffrage Oak,https://en.wikipedia.org/wiki/The_Suffrage_Oak,"Oak tree in Glasgow, Scotland"
Tamme-Lauri oak,https://en.wikipedia.org/wiki/Tamme-Lauri_oak,Thickest and oldest oak in Estonia
Three Brother Tree,"https://en.wikipedia.org/wiki/Three_Brother_Tree"" class=""mw-redirect",""
Three Mile Oak,https://en.wikipedia.org/wiki/Three_Mile_Oak,Historic site
Tordenskiold Oak,https://en.wikipedia.org/wiki/Tordenskiold_Oak,""
Travilah Oak,https://en.wikipedia.org/wiki/Travilah_Oak,"Large white oak located in Travilah, Maryland, United States"
"Treaty Oak (Austin, Texas)","https://en.wikipedia.org/wiki/Treaty_Oak_(Austin,_Texas)","Historic tree in Austin, Texas"
Treaty Oak (Jacksonville),https://en.wikipedia.org/wiki/Treaty_Oak_(Jacksonville),"Tree in Jacksonville, Florida, US"
Tree of Life (Louisiana),https://en.wikipedia.org/wiki/Tree_of_Life_(Louisiana),Tree in Louisiana
"Treaty Oak (Washington, D.C.)","https://en.wikipedia.org/wiki/Treaty_Oak_(Washington,_D.C.)","350-400 year old oak tree in Washington, D.C"
Tree That Owns Itself (Alabama),https://en.wikipedia.org/wiki/Tree_That_Owns_Itself_(Alabama),""
Tree That Owns Itself,https://en.wikipedia.org/wiki/Tree_That_Owns_Itself,"Tree in Georgia, USA"
Vizcaíno-Serra Oak,https://en.wikipedia.org/wiki/Vizca%C3%ADno-Serra_Oak,""
Wallace Oak (Elderslie),https://en.wikipedia.org/wiki/Wallace_Oak_(Elderslie),Historic oak tree
Wallace Oak (Port Glasgow),https://en.wikipedia.org/wiki/Wallace_Oak_(Port_Glasgow),""
Wallace Oak (Torwood),https://en.wikipedia.org/wiki/Wallace_Oak_(Torwood),""
Washington Oak,https://en.wikipedia.org/wiki/Washington_Oak,Protected ancient tree in the United States
"Winameg, Ohio","https://en.wikipedia.org/wiki/Winameg,_Ohio",""
Wye Oak,https://en.wikipedia.org/wiki/Wye_Oak,Largest known white oak in the United States
Wyndham&#039;s Oak,https://en.wikipedia.org/wiki/Wyndham%27s_Oak,""
