RecordID,Year,Adj. Day of Year,Species,Elevation,Pigment
54,1991-01-01,1991-10-27,RMS,1400,0.00
55,1991-01-01,1991-10-28,RMS,1400,0.00
56,1991-01-01,1991-10-29,RMS,1400,0.00
57,1991-01-01,1991-10-30,RMS,1400,0.00
58,1991-01-01,1991-10-31,RMS,1400,0.00
59,1991-01-01,1991-11-01,RMS,1400,0.00
60,1991-01-01,1991-11-02,RMS,1400,0.00
61,1991-01-01,1991-11-03,RMS,1400,0.00
62,1991-01-01,1991-11-04,RMS,1400,0.0
63,1991-01-01,1991-11-05,RMS,1400,0.0
64,1991-01-01,1991-11-06,RMS,1400,0.0
65,1991-01-01,1991-11-07,RMS,1400,0.0
66,1992-01-01,1992-09-03,RMS,1400,0.00
67,1992-01-01,1992-09-04,RMS,1400,0.00
68,1992-01-01,1992-09-05,RMS,1400,0.00
69,1992-01-01,1992-09-06,RMS,1400,0.00
70,1992-01-01,1992-09-07,RMS,1400,0.00
71,1992-01-01,1992-09-08,RMS,1400,0.00
72,1992-01-01,1992-09-09,RMS,1400,0.00
73,1992-01-01,1992-09-10,RMS,1400,0.00
74,1992-01-01,1992-09-11,RMS,1400,0.00
75,1992-01-01,1992-09-12,RMS,1400,0.00
76,1992-01-01,1992-09-13,RMS,1400,0.00
77,1992-01-01,1992-09-14,RMS,1400,0.00
78,1992-01-01,1992-09-15,RMS,1400,0.00
79,1992-01-01,1992-09-16,RMS,1400,0.00
80,1992-01-01,1992-09-17,RMS,1400,0.00
81,1992-01-01,1992-09-18,RMS,1400,0.00
82,1992-01-01,1992-09-19,RMS,1400,0.00
83,1992-01-01,1992-09-20,RMS,1400,0.00
84,1992-01-01,1992-09-21,RMS,1400,0.00
85,1992-01-01,1992-09-22,RMS,1400,0.00
86,1992-01-01,1992-09-23,RMS,1400,0.00
87,1992-01-01,1992-09-24,RMS,1400,0.00
88,1992-01-01,1992-09-25,RMS,1400,0.00
89,1992-01-01,1992-09-26,RMS,1400,0.00
90,1992-01-01,1992-09-27,RMS,1400,0.00
91,1992-01-01,1992-09-28,RMS,1400,0.00
92,1992-01-01,1992-09-29,RMS,1400,0.00
93,1992-01-01,1992-09-30,RMS,1400,0.00
94,1992-01-01,1992-10-01,RMS,1400,0.00
95,1992-01-01,1992-10-02,RMS,1400,0.00
96,1992-01-01,1992-10-03,RMS,1400,0.00
97,1992-01-01,1992-10-04,RMS,1400,0.00
98,1992-01-01,1992-10-05,RMS,1400,0.00
99,1992-01-01,1992-10-06,RMS,1400,0.00
100,1992-01-01,1992-10-07,RMS,1400,0.00
101,1992-01-01,1992-10-08,RMS,1400,0.00
102,1992-01-01,1992-10-09,RMS,1400,0.00
103,1992-01-01,1992-10-10,RMS,1400,0.00
104,1992-01-01,1992-10-11,RMS,1400,0.00
105,1992-01-01,1992-10-12,RMS,1400,0.00
106,1992-01-01,1992-10-13,RMS,1400,0.00
107,1992-01-01,1992-10-14,RMS,1400,0.00
108,1992-01-01,1992-10-15,RMS,1400,0.00
109,1992-01-01,1992-10-16,RMS,1400,0.00
110,1992-01-01,1992-10-17,RMS,1400,0.00
111,1992-01-01,1992-10-18,RMS,1400,0.00
112,1992-01-01,1992-10-19,RMS,1400,0.00
113,1992-01-01,1992-10-20,RMS,1400,0.00
114,1992-01-01,1992-10-21,RMS,1400,0.00
115,1992-01-01,1992-10-22,RMS,1400,0.00
116,1992-01-01,1992-10-23,RMS,1400,0.00
117,1992-01-01,1992-10-24,RMS,1400,0.00
118,1992-01-01,1992-10-25,RMS,1400,0.00
119,1992-01-01,1992-10-26,RMS,1400,0.00
120,1992-01-01,1992-10-27,RMS,1400,0.00
121,1992-01-01,1992-10-28,RMS,1400,0.00
122,1992-01-01,1992-10-29,RMS,1400,0.00
123,1992-01-01,1992-10-30,RMS,1400,0.00
124,1992-01-01,1992-10-31,RMS,1400,0.00
125,1992-01-01,1992-11-01,RMS,1400,0.00
126,1992-01-01,1992-11-02,RMS,1400,0.00
127,1992-01-01,1992-11-03,RMS,1400,0.0
128,1992-01-01,1992-11-04,RMS,1400,0.0
129,1992-01-01,1992-11-05,RMS,1400,0.0
130,1992-01-01,1992-11-06,RMS,1400,0.0
131,1993-01-01,1993-09-04,RMS,1400,0.00
132,1993-01-01,1993-09-05,RMS,1400,0.00
133,1993-01-01,1993-09-06,RMS,1400,0.00
134,1993-01-01,1993-09-07,RMS,1400,0.00
135,1993-01-01,1993-09-08,RMS,1400,0.00
136,1993-01-01,1993-09-09,RMS,1400,0.00
137,1993-01-01,1993-09-10,RMS,1400,0.00
138,1993-01-01,1993-09-11,RMS,1400,0.00
139,1993-01-01,1993-09-12,RMS,1400,0.00
140,1993-01-01,1993-09-13,RMS,1400,0.00
141,1993-01-01,1993-09-14,RMS,1400,0.00
142,1993-01-01,1993-09-15,RMS,1400,0.00
143,1993-01-01,1993-09-16,RMS,1400,0.00
144,1993-01-01,1993-09-17,RMS,1400,0.00
145,1993-01-01,1993-09-18,RMS,1400,0.00
146,1993-01-01,1993-09-19,RMS,1400,0.00
147,1993-01-01,1993-09-20,RMS,1400,0.00
148,1993-01-01,1993-09-21,RMS,1400,0.00
149,1993-01-01,1993-09-22,RMS,1400,0.00
150,1993-01-01,1993-09-23,RMS,1400,0.00
151,1993-01-01,1993-09-24,RMS,1400,0.00
152,1993-01-01,1993-09-25,RMS,1400,0.00
153,1993-01-01,1993-09-26,RMS,1400,0.00
154,1993-01-01,1993-09-27,RMS,1400,0.00
155,1993-01-01,1993-09-28,RMS,1400,0.00
156,1993-01-01,1993-09-29,RMS,1400,0.00
157,1993-01-01,1993-09-30,RMS,1400,0.00
158,1993-01-01,1993-10-01,RMS,1400,0.00
159,1993-01-01,1993-10-02,RMS,1400,0.00
160,1993-01-01,1993-10-03,RMS,1400,0.00
161,1993-01-01,1993-10-04,RMS,1400,0.00
162,1993-01-01,1993-10-05,RMS,1400,0.00
163,1993-01-01,1993-10-06,RMS,1400,0.00
164,1993-01-01,1993-10-07,RMS,1400,0.00
165,1993-01-01,1993-10-08,RMS,1400,0.00
166,1993-01-01,1993-10-09,RMS,1400,0.00
167,1993-01-01,1993-10-10,RMS,1400,0.00
168,1993-01-01,1993-10-11,RMS,1400,0.00
169,1993-01-01,1993-10-12,RMS,1400,0.00
170,1993-01-01,1993-10-13,RMS,1400,0.00
171,1993-01-01,1993-10-14,RMS,1400,0.00
172,1993-01-01,1993-10-15,RMS,1400,0.00
173,1993-01-01,1993-10-16,RMS,1400,0.00
174,1993-01-01,1993-10-17,RMS,1400,0.00
175,1993-01-01,1993-10-18,RMS,1400,0.00
176,1993-01-01,1993-10-19,RMS,1400,0.00
177,1993-01-01,1993-10-20,RMS,1400,0.00
178,1993-01-01,1993-10-21,RMS,1400,0.00
179,1993-01-01,1993-10-22,RMS,1400,0.00
180,1993-01-01,1993-10-23,RMS,1400,0.00
181,1993-01-01,1993-10-24,RMS,1400,0.00
182,1993-01-01,1993-10-25,RMS,1400,0.00
183,1993-01-01,1993-10-26,RMS,1400,0.00
184,1993-01-01,1993-10-27,RMS,1400,0.00
185,1993-01-01,1993-10-28,RMS,1400,0.00
186,1993-01-01,1993-10-29,RMS,1400,0.00
187,1993-01-01,1993-10-30,RMS,1400,0.00
188,1993-01-01,1993-10-31,RMS,1400,0.00
189,1993-01-01,1993-11-01,RMS,1400,0.00
190,1993-01-01,1993-11-02,RMS,1400,0.00
191,1993-01-01,1993-11-03,RMS,1400,0.00
192,1993-01-01,1993-11-04,RMS,1400,0.0
193,1993-01-01,1993-11-05,RMS,1400,0.0
194,1993-01-01,1993-11-06,RMS,1400,0.0
195,1993-01-01,1993-11-07,RMS,1400,0.0
196,1994-01-01,1994-09-04,RMS,1400,0.00
197,1994-01-01,1994-09-05,RMS,1400,0.00
198,1994-01-01,1994-09-06,RMS,1400,0.00
199,1994-01-01,1994-09-07,RMS,1400,0.00
200,1994-01-01,1994-09-08,RMS,1400,0.00
201,1994-01-01,1994-09-09,RMS,1400,0.00
202,1994-01-01,1994-09-10,RMS,1400,0.00
203,1994-01-01,1994-09-11,RMS,1400,0.00
204,1994-01-01,1994-09-12,RMS,1400,0.00
205,1994-01-01,1994-09-13,RMS,1400,0.00
206,1994-01-01,1994-09-14,RMS,1400,0.00
207,1994-01-01,1994-09-15,RMS,1400,0.00
208,1994-01-01,1994-09-16,RMS,1400,0.00
209,1994-01-01,1994-09-17,RMS,1400,0.00
210,1994-01-01,1994-09-18,RMS,1400,0.00
211,1994-01-01,1994-09-19,RMS,1400,0.00
212,1994-01-01,1994-09-20,RMS,1400,0.00
213,1994-01-01,1994-09-21,RMS,1400,0.00
214,1994-01-01,1994-09-22,RMS,1400,0.00
215,1994-01-01,1994-09-23,RMS,1400,0.00
216,1994-01-01,1994-09-24,RMS,1400,0.00
217,1994-01-01,1994-09-25,RMS,1400,0.00
218,1994-01-01,1994-09-26,RMS,1400,0.00
219,1994-01-01,1994-09-27,RMS,1400,0.00
220,1994-01-01,1994-09-28,RMS,1400,0.00
221,1994-01-01,1994-09-29,RMS,1400,0.00
222,1994-01-01,1994-09-30,RMS,1400,0.00
223,1994-01-01,1994-10-01,RMS,1400,0.00
224,1994-01-01,1994-10-02,RMS,1400,0.00
225,1994-01-01,1994-10-03,RMS,1400,0.00
226,1994-01-01,1994-10-04,RMS,1400,0.00
227,1994-01-01,1994-10-05,RMS,1400,0.00
228,1994-01-01,1994-10-06,RMS,1400,0.00
229,1994-01-01,1994-10-07,RMS,1400,0.00
230,1994-01-01,1994-10-08,RMS,1400,0.00
231,1994-01-01,1994-10-09,RMS,1400,0.00
232,1994-01-01,1994-10-10,RMS,1400,0.00
233,1994-01-01,1994-10-11,RMS,1400,0.00
234,1994-01-01,1994-10-12,RMS,1400,0.00
235,1994-01-01,1994-10-13,RMS,1400,0.00
236,1994-01-01,1994-10-14,RMS,1400,0.00
237,1994-01-01,1994-10-15,RMS,1400,0.00
238,1994-01-01,1994-10-16,RMS,1400,0.00
239,1994-01-01,1994-10-17,RMS,1400,0.00
240,1994-01-01,1994-10-18,RMS,1400,0.00
241,1994-01-01,1994-10-19,RMS,1400,0.00
242,1994-01-01,1994-10-20,RMS,1400,0.00
243,1994-01-01,1994-10-21,RMS,1400,0.00
244,1994-01-01,1994-10-22,RMS,1400,0.00
245,1994-01-01,1994-10-23,RMS,1400,0.00
246,1994-01-01,1994-10-24,RMS,1400,0.00
247,1994-01-01,1994-10-25,RMS,1400,0.00
248,1994-01-01,1994-10-26,RMS,1400,0.00
249,1994-01-01,1994-10-27,RMS,1400,0.00
250,1994-01-01,1994-10-28,RMS,1400,0.00
251,1994-01-01,1994-10-29,RMS,1400,0.00
252,1994-01-01,1994-10-30,RMS,1400,0.00
253,1994-01-01,1994-10-31,RMS,1400,0.00
254,1994-01-01,1994-11-01,RMS,1400,0.00
255,1994-01-01,1994-11-02,RMS,1400,0.00
256,1994-01-01,1994-11-03,RMS,1400,0.00
257,1994-01-01,1994-11-04,RMS,1400,0.0
258,1994-01-01,1994-11-05,RMS,1400,0.0
259,1994-01-01,1994-11-06,RMS,1400,0.0
260,1994-01-01,1994-11-07,RMS,1400,0.0
261,1995-01-01,1995-09-04,RMS,1400,0.90
262,1995-01-01,1995-09-05,RMS,1400,1.80
263,1995-01-01,1995-09-06,RMS,1400,2.60
264,1995-01-01,1995-09-07,RMS,1400,3.50
265,1995-01-01,1995-09-08,RMS,1400,4.40
266,1995-01-01,1995-09-09,RMS,1400,5.20
267,1995-01-01,1995-09-10,RMS,1400,6.10
268,1995-01-01,1995-09-11,RMS,1400,6.90
269,1995-01-01,1995-09-12,RMS,1400,7.70
270,1995-01-01,1995-09-13,RMS,1400,8.60
271,1995-01-01,1995-09-14,RMS,1400,9.40
272,1995-01-01,1995-09-15,RMS,1400,10.20
273,1995-01-01,1995-09-16,RMS,1400,11.00
274,1995-01-01,1995-09-17,RMS,1400,11.90
275,1995-01-01,1995-09-18,RMS,1400,12.70
276,1995-01-01,1995-09-19,RMS,1400,13.50
277,1995-01-01,1995-09-20,RMS,1400,14.40
278,1995-01-01,1995-09-21,RMS,1400,15.20
279,1995-01-01,1995-09-22,RMS,1400,16.00
280,1995-01-01,1995-09-23,RMS,1400,16.90
281,1995-01-01,1995-09-24,RMS,1400,17.70
282,1995-01-01,1995-09-25,RMS,1400,18.60
283,1995-01-01,1995-09-26,RMS,1400,19.40
284,1995-01-01,1995-09-27,RMS,1400,20.20
285,1995-01-01,1995-09-28,RMS,1400,21.10
286,1995-01-01,1995-09-29,RMS,1400,21.90
287,1995-01-01,1995-09-30,RMS,1400,22.80
288,1995-01-01,1995-10-01,RMS,1400,27.90
289,1995-01-01,1995-10-02,RMS,1400,32.90
290,1995-01-01,1995-10-03,RMS,1400,38.00
291,1995-01-01,1995-10-04,RMS,1400,43.10
292,1995-01-01,1995-10-05,RMS,1400,48.20
293,1995-01-01,1995-10-06,RMS,1400,53.20
294,1995-01-01,1995-10-07,RMS,1400,58.10
295,1995-01-01,1995-10-08,RMS,1400,62.90
296,1995-01-01,1995-10-09,RMS,1400,67.80
297,1995-01-01,1995-10-10,RMS,1400,72.60
298,1995-01-01,1995-10-11,RMS,1400,77.50
299,1995-01-01,1995-10-12,RMS,1400,82.40
300,1995-01-01,1995-10-13,RMS,1400,87.20
301,1995-01-01,1995-10-14,RMS,1400,74.80
302,1995-01-01,1995-10-15,RMS,1400,62.40
303,1995-01-01,1995-10-16,RMS,1400,50.00
304,1995-01-01,1995-10-17,RMS,1400,37.60
305,1995-01-01,1995-10-18,RMS,1400,25.20
306,1995-01-01,1995-10-19,RMS,1400,12.80
307,1995-01-01,1995-10-20,RMS,1400,0.40
308,1995-01-01,1995-10-21,RMS,1400,0.00
309,1995-01-01,1995-10-22,RMS,1400,0.00
310,1995-01-01,1995-10-23,RMS,1400,0.00
311,1995-01-01,1995-10-24,RMS,1400,0.00
312,1995-01-01,1995-10-25,RMS,1400,0.00
313,1995-01-01,1995-10-26,RMS,1400,0.00
314,1995-01-01,1995-10-27,RMS,1400,0.00
315,1995-01-01,1995-10-28,RMS,1400,0.00
316,1995-01-01,1995-10-29,RMS,1400,0.00
317,1995-01-01,1995-10-30,RMS,1400,0.00
318,1995-01-01,1995-10-31,RMS,1400,0.00
319,1995-01-01,1995-11-01,RMS,1400,0.00
320,1995-01-01,1995-11-02,RMS,1400,0.00
321,1995-01-01,1995-11-03,RMS,1400,0.00
322,1995-01-01,1995-11-04,RMS,1400,0.0
323,1995-01-01,1995-11-05,RMS,1400,0.0
324,1995-01-01,1995-11-06,RMS,1400,0.0
325,1995-01-01,1995-11-07,RMS,1400,0.0
326,1996-01-01,1996-09-03,RMS,1400,1.30
327,1996-01-01,1996-09-04,RMS,1400,2.60
328,1996-01-01,1996-09-05,RMS,1400,3.90
329,1996-01-01,1996-09-06,RMS,1400,5.20
330,1996-01-01,1996-09-07,RMS,1400,6.40
331,1996-01-01,1996-09-08,RMS,1400,7.50
332,1996-01-01,1996-09-09,RMS,1400,8.70
333,1996-01-01,1996-09-10,RMS,1400,9.90
334,1996-01-01,1996-09-11,RMS,1400,11.10
335,1996-01-01,1996-09-12,RMS,1400,12.20
336,1996-01-01,1996-09-13,RMS,1400,13.40
337,1996-01-01,1996-09-14,RMS,1400,14.60
338,1996-01-01,1996-09-15,RMS,1400,15.70
339,1996-01-01,1996-09-16,RMS,1400,16.90
340,1996-01-01,1996-09-17,RMS,1400,18.10
341,1996-01-01,1996-09-18,RMS,1400,19.20
342,1996-01-01,1996-09-19,RMS,1400,20.40
343,1996-01-01,1996-09-20,RMS,1400,21.10
344,1996-01-01,1996-09-21,RMS,1400,21.80
345,1996-01-01,1996-09-22,RMS,1400,22.50
346,1996-01-01,1996-09-23,RMS,1400,23.20
347,1996-01-01,1996-09-24,RMS,1400,23.90
348,1996-01-01,1996-09-25,RMS,1400,24.50
349,1996-01-01,1996-09-26,RMS,1400,25.20
350,1996-01-01,1996-09-27,RMS,1400,25.90
351,1996-01-01,1996-09-28,RMS,1400,26.60
352,1996-01-01,1996-09-29,RMS,1400,27.60
353,1996-01-01,1996-09-30,RMS,1400,28.70
354,1996-01-01,1996-10-01,RMS,1400,29.70
355,1996-01-01,1996-10-02,RMS,1400,30.70
356,1996-01-01,1996-10-03,RMS,1400,31.80
357,1996-01-01,1996-10-04,RMS,1400,32.80
358,1996-01-01,1996-10-05,RMS,1400,33.80
359,1996-01-01,1996-10-06,RMS,1400,35.80
360,1996-01-01,1996-10-07,RMS,1400,37.90
361,1996-01-01,1996-10-08,RMS,1400,39.90
362,1996-01-01,1996-10-09,RMS,1400,41.90
363,1996-01-01,1996-10-10,RMS,1400,44.00
364,1996-01-01,1996-10-11,RMS,1400,46.00
365,1996-01-01,1996-10-12,RMS,1400,48.00
366,1996-01-01,1996-10-13,RMS,1400,50.10
367,1996-01-01,1996-10-14,RMS,1400,52.10
368,1996-01-01,1996-10-15,RMS,1400,54.20
369,1996-01-01,1996-10-16,RMS,1400,56.30
370,1996-01-01,1996-10-17,RMS,1400,58.40
371,1996-01-01,1996-10-18,RMS,1400,60.40
372,1996-01-01,1996-10-19,RMS,1400,53.80
373,1996-01-01,1996-10-20,RMS,1400,47.20
374,1996-01-01,1996-10-21,RMS,1400,40.60
375,1996-01-01,1996-10-22,RMS,1400,34.00
376,1996-01-01,1996-10-23,RMS,1400,27.40
377,1996-01-01,1996-10-24,RMS,1400,20.80
378,1996-01-01,1996-10-25,RMS,1400,14.20
379,1996-01-01,1996-10-26,RMS,1400,7.70
380,1996-01-01,1996-10-27,RMS,1400,0.00
381,1996-01-01,1996-10-28,RMS,1400,0.00
382,1996-01-01,1996-10-29,RMS,1400,0.00
383,1996-01-01,1996-10-30,RMS,1400,0.00
384,1996-01-01,1996-10-31,RMS,1400,0.00
385,1996-01-01,1996-11-01,RMS,1400,0.00
386,1996-01-01,1996-11-02,RMS,1400,0.00
387,1996-01-01,1996-11-03,RMS,1400,0.0
388,1996-01-01,1996-11-04,RMS,1400,0.0
389,1996-01-01,1996-11-05,RMS,1400,0.0
390,1996-01-01,1996-11-06,RMS,1400,0.0
391,1997-01-01,1997-09-04,RMS,1400,3.60
392,1997-01-01,1997-09-05,RMS,1400,5.00
393,1997-01-01,1997-09-06,RMS,1400,6.30
394,1997-01-01,1997-09-07,RMS,1400,7.70
395,1997-01-01,1997-09-08,RMS,1400,9.10
396,1997-01-01,1997-09-09,RMS,1400,10.50
397,1997-01-01,1997-09-10,RMS,1400,11.80
398,1997-01-01,1997-09-11,RMS,1400,13.20
399,1997-01-01,1997-09-12,RMS,1400,14.60
400,1997-01-01,1997-09-13,RMS,1400,15.90
401,1997-01-01,1997-09-14,RMS,1400,17.30
402,1997-01-01,1997-09-15,RMS,1400,18.70
403,1997-01-01,1997-09-16,RMS,1400,20.00
404,1997-01-01,1997-09-17,RMS,1400,21.40
405,1997-01-01,1997-09-18,RMS,1400,22.80
406,1997-01-01,1997-09-19,RMS,1400,24.20
407,1997-01-01,1997-09-20,RMS,1400,25.60
408,1997-01-01,1997-09-21,RMS,1400,27.00
409,1997-01-01,1997-09-22,RMS,1400,28.50
410,1997-01-01,1997-09-23,RMS,1400,29.90
411,1997-01-01,1997-09-24,RMS,1400,31.30
412,1997-01-01,1997-09-25,RMS,1400,32.70
413,1997-01-01,1997-09-26,RMS,1400,34.10
414,1997-01-01,1997-09-27,RMS,1400,35.50
415,1997-01-01,1997-09-28,RMS,1400,36.90
416,1997-01-01,1997-09-29,RMS,1400,38.30
417,1997-01-01,1997-09-30,RMS,1400,39.70
418,1997-01-01,1997-10-01,RMS,1400,41.10
419,1997-01-01,1997-10-02,RMS,1400,42.60
420,1997-01-01,1997-10-03,RMS,1400,49.20
421,1997-01-01,1997-10-04,RMS,1400,55.70
422,1997-01-01,1997-10-05,RMS,1400,62.30
423,1997-01-01,1997-10-06,RMS,1400,68.90
424,1997-01-01,1997-10-07,RMS,1400,75.50
425,1997-01-01,1997-10-08,RMS,1400,82.00
426,1997-01-01,1997-10-09,RMS,1400,71.20
427,1997-01-01,1997-10-10,RMS,1400,60.30
428,1997-01-01,1997-10-11,RMS,1400,49.50
429,1997-01-01,1997-10-12,RMS,1400,38.70
430,1997-01-01,1997-10-13,RMS,1400,27.90
431,1997-01-01,1997-10-14,RMS,1400,17.00
432,1997-01-01,1997-10-15,RMS,1400,6.20
433,1997-01-01,1997-10-16,RMS,1400,5.20
434,1997-01-01,1997-10-17,RMS,1400,4.20
435,1997-01-01,1997-10-18,RMS,1400,3.20
436,1997-01-01,1997-10-19,RMS,1400,2.20
437,1997-01-01,1997-10-20,RMS,1400,1.20
438,1997-01-01,1997-10-21,RMS,1400,0.20
439,1997-01-01,1997-10-22,RMS,1400,0.00
440,1997-01-01,1997-10-23,RMS,1400,0.00
441,1997-01-01,1997-10-24,RMS,1400,0.00
442,1997-01-01,1997-10-25,RMS,1400,0.00
443,1997-01-01,1997-10-26,RMS,1400,0.00
444,1997-01-01,1997-10-27,RMS,1400,0.00
445,1997-01-01,1997-10-28,RMS,1400,0.00
446,1997-01-01,1997-10-29,RMS,1400,0.00
447,1997-01-01,1997-10-30,RMS,1400,0.00
448,1997-01-01,1997-10-31,RMS,1400,0.00
449,1997-01-01,1997-11-01,RMS,1400,0.00
450,1997-01-01,1997-11-02,RMS,1400,0.00
451,1997-01-01,1997-11-03,RMS,1400,0.00
452,1997-01-01,1997-11-04,RMS,1400,0.0
453,1997-01-01,1997-11-05,RMS,1400,0.0
454,1997-01-01,1997-11-06,RMS,1400,0.0
455,1997-01-01,1997-11-07,RMS,1400,0.0
456,1998-01-01,1998-09-04,RMS,1400,5.60
457,1998-01-01,1998-09-05,RMS,1400,11.20
458,1998-01-01,1998-09-06,RMS,1400,12.20
459,1998-01-01,1998-09-07,RMS,1400,13.20
460,1998-01-01,1998-09-08,RMS,1400,14.20
461,1998-01-01,1998-09-09,RMS,1400,15.20
462,1998-01-01,1998-09-10,RMS,1400,16.20
463,1998-01-01,1998-09-11,RMS,1400,17.20
464,1998-01-01,1998-09-12,RMS,1400,18.20
465,1998-01-01,1998-09-13,RMS,1400,19.20
466,1998-01-01,1998-09-14,RMS,1400,20.20
467,1998-01-01,1998-09-15,RMS,1400,21.20
468,1998-01-01,1998-09-16,RMS,1400,22.20
469,1998-01-01,1998-09-17,RMS,1400,23.20
470,1998-01-01,1998-09-18,RMS,1400,24.20
471,1998-01-01,1998-09-19,RMS,1400,25.70
472,1998-01-01,1998-09-20,RMS,1400,27.20
473,1998-01-01,1998-09-21,RMS,1400,28.60
474,1998-01-01,1998-09-22,RMS,1400,30.10
475,1998-01-01,1998-09-23,RMS,1400,31.60
476,1998-01-01,1998-09-24,RMS,1400,33.10
477,1998-01-01,1998-09-25,RMS,1400,34.60
478,1998-01-01,1998-09-26,RMS,1400,36.00
479,1998-01-01,1998-09-27,RMS,1400,36.80
480,1998-01-01,1998-09-28,RMS,1400,37.70
481,1998-01-01,1998-09-29,RMS,1400,38.50
482,1998-01-01,1998-09-30,RMS,1400,39.30
483,1998-01-01,1998-10-01,RMS,1400,40.20
484,1998-01-01,1998-10-02,RMS,1400,41.00
485,1998-01-01,1998-10-03,RMS,1400,41.80
486,1998-01-01,1998-10-04,RMS,1400,43.30
487,1998-01-01,1998-10-05,RMS,1400,44.80
488,1998-01-01,1998-10-06,RMS,1400,46.30
489,1998-01-01,1998-10-07,RMS,1400,47.80
490,1998-01-01,1998-10-08,RMS,1400,49.30
491,1998-01-01,1998-10-09,RMS,1400,50.70
492,1998-01-01,1998-10-10,RMS,1400,52.20
493,1998-01-01,1998-10-11,RMS,1400,50.80
494,1998-01-01,1998-10-12,RMS,1400,49.50
495,1998-01-01,1998-10-13,RMS,1400,48.10
496,1998-01-01,1998-10-14,RMS,1400,46.70
497,1998-01-01,1998-10-15,RMS,1400,45.40
498,1998-01-01,1998-10-16,RMS,1400,44.00
499,1998-01-01,1998-10-17,RMS,1400,36.80
500,1998-01-01,1998-10-18,RMS,1400,29.70
501,1998-01-01,1998-10-19,RMS,1400,22.50
502,1998-01-01,1998-10-20,RMS,1400,15.30
503,1998-01-01,1998-10-21,RMS,1400,8.20
504,1998-01-01,1998-10-22,RMS,1400,1.00
505,1998-01-01,1998-10-23,RMS,1400,0.00
506,1998-01-01,1998-10-24,RMS,1400,0.00
507,1998-01-01,1998-10-25,RMS,1400,0.00
508,1998-01-01,1998-10-26,RMS,1400,0.00
509,1998-01-01,1998-10-27,RMS,1400,0.00
510,1998-01-01,1998-10-28,RMS,1400,0.00
511,1998-01-01,1998-10-29,RMS,1400,0.00
512,1998-01-01,1998-10-30,RMS,1400,0.00
513,1998-01-01,1998-10-31,RMS,1400,0.00
514,1998-01-01,1998-11-01,RMS,1400,0.00
515,1998-01-01,1998-11-02,RMS,1400,0.00
516,1998-01-01,1998-11-03,RMS,1400,0.00
